config,df1_idx,attribute,ground_truth,predicted,correct,unknown
RAG-full-k3,0,model_number,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,True,False
RAG-full-k3,2,model_number,CSSD-F960GBMP510,MP510,True,False
RAG-full-k3,5,model_number,90YV0CV2-M0NA00,TWINX,False,False
RAG-full-k3,5,bus_type,PCIe 3.0 x16,PCIe 4.0,False,False
RAG-full-k3,6,bus_type,USB 3.0,USB 2.0,False,False
RAG-full-k3,8,model_number,GV-N166SOC-6GD,A6G,False,False
RAG-full-k3,9,model_number,V375-040R,912-V375-040,False,False
RAG-full-k3,9,bus_type,PCIe 3.0 x16,PCIe 3.0 x16,True,False
RAG-full-k3,11,bus_type,PCIe 3.0,PCIe 3.0,True,False
RAG-full-k3,12,model_number,90YV0DQ0-M0NA00,TWINF4,False,False
RAG-full-k3,12,bus_type,PCIe 4.0,NVLink,False,False
RAG-full-k3,13,model_number,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro,False,False
RAG-full-k3,14,model_number,GV-R56XTGAMING OC-6GD,GV-R56XGAMING-OC-6G,False,False
RAG-full-k3,15,model_number,100-506008,100-506008,True,False
RAG-full-k3,15,bus_type,PCIe 3.0 x16,PCIe 3.0 x8,False,False
RAG-full-k3,16,model_number,NE6166SS18J9-161F,NE51660018J9-165F,False,False
RAG-full-k3,17,model_number,843266-B21,861691-B21,False,False
RAG-full-k3,19,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,RTCO-011-DH-012,False,False
RAG-full-k3,19,bus_type,PCIe 3.0 x16,NVIDIA,False,False
RAG-full-k3,21,model_number,PBU240GS25SSDR,PBU240GS25SSDR,True,False
RAG-full-k3,23,model_number,SDCZ50-128G-B35,CBA128,False,False
RAG-full-k3,25,bus_type,PCIe 3.0,PCIe,True,False
RAG-full-k3,26,bus_type,SATA III,M.2,False,False
RAG-full-k3,27,model_number,WDBWLG0040HBK-EESN,WDBYVG0040HBK,False,False
RAG-full-k3,30,model_number,WDBMCG5000ABT-WESN,500GB,False,False
RAG-full-k3,30,bus_type,USB 3.0,USB,True,False
RAG-full-k3,31,model_number,DT100G3/256GB,DT100G3,True,False
RAG-full-k3,32,model_number,ST4000NE001,IronWolf PRO ST4000NE001,True,False
RAG-full-k3,33,interface_type,Micro B,Micro B,True,False
RAG-full-k3,39,model_number,PH-GTX1650-O4G,GTX-1650-OC-PHOENIX,False,False
RAG-full-k3,39,bus_type,PCIe 3.0,PCIe 3.0,True,False
RAG-full-k3,42,bus_type,SATA III,SATA III,True,False
RAG-full-k3,42,interface_type,SATA,SATA,True,False
RAG-full-k3,42,form_factor,"2.5""",2.5,True,False
RAG-full-k3,42,storage_connection_type,"2.5"" SATA","2.5"" SATA",True,False
RAG-full-k3,43,model_number,GP-ASM2NE6100TTTD,GP-ASM2NE6100TTTD,True,False
RAG-full-k3,45,model_number,912-V372-257,912-V372-257,True,False
RAG-full-k3,45,bus_type,PCIe 3.0,PCIe,True,False
RAG-full-k3,46,model_number,DT100G3/128GB,DT100G3/128GB,True,False
RAG-full-k3,49,bus_type,USB 3.0,USB,True,False
RAG-full-k3,49,interface_type,USB,USB,True,False
RAG-full-k3,49,form_factor,2.5,Portable,False,False
RAG-full-k3,49,storage_connection_type,USB 3.0,USB,True,False
RAG-full-k3,51,model_number,PH-RTX2060-6G,Phoenix PH-RTX2060-6G,True,False
RAG-full-k3,52,bus_type,SATA III,M.2,False,False
RAG-full-k3,52,interface_type,SATA,M.2,False,False
RAG-full-k3,54,model_number,N20702-08D6-1710VA23,N20702-08D6-1710VA23,True,False
RAG-full-k3,54,bus_type,PCIe 3.0 x16,PCIe,True,False
RAG-full-k3,57,model_number,MZ-76P2T0B,MZ-76P1T0CW,False,False
RAG-full-k3,58,model_number,CT2000P5SSD8,CT2000P5SSD8,True,False
RAG-full-k3,59,form_factor,Low Profile,Low Profile,True,False
RAG-full-k3,61,model_number,ZT-A30900D-10P,ZT-A30910E-24M,False,False
RAG-full-k3,61,bus_type,PCIe 4.0,PCIe 4.0,True,False
RAG-full-k3,63,model_number,CSSD-F500GBMP600,CSSD-F500GBMP600,True,False
RAG-full-k3,66,bus_type,PCIe 4.0,PCIe,True,False
RAG-full-k3,71,interface_type,USB-C,USB-3,False,False
RAG-full-k3,72,model_number,CT1000P1SSD8,CT1000P1SSD8,True,False
RAG-full-k3,74,model_number,MU-PC2T0H,T5PTN0MW,False,False
RAG-full-k3,74,bus_type,USB 3.2 Gen 2,NVMe,False,False
RAG-full-k3,75,form_factor,"2.5""",2.5,True,False
RAG-full-k3,78,model_number,ST300MP0106,ST300MP0006,False,False
RAG-full-k3,78,interface_type,SAS,SAS,True,False
RAG-full-k3,79,model_number,GT 710 1GD3H LP,GT710-2GD3H(LP),False,False
RAG-full-k3,81,model_number,02G-P3-2717-KR,NV01G3P2XDR,False,False
RAG-full-k3,81,form_factor,Single Slot,Half-Height,False,False
RAG-full-k3,82,model_number,CT2000P1SSD8,P1-2000,False,False
RAG-full-k3,84,bus_type,PCIe x16,PCIe 3.0,False,False
RAG-full-k3,85,model_number,MZ-76E500BW,MZ-75E500BW,False,False
RAG-full-k3,88,model_number,MU-PC1T0S/WW,T7TOCH1T0,False,False
RAG-full-k3,89,model_number,STHH1000400,STEH1000300,False,False
RAG-full-k3,89,interface_type,USB 3.0 & USB-C,USB 3.0 & USB-C,True,False
RAG-full-k3,89,form_factor,"2.5""",2.5,True,False
RAG-full-k3,89,storage_connection_type,USB,USB,True,False
RAG-full-k3,90,bus_type,PCIe 3.0,PCIe,True,False
RAG-full-k3,92,model_number,SDCZ48-032G-U46,CUSNU16G-500A-GN3,False,False
RAG-full-k3,94,model_number,MZ-76E2T0BW,860 EVO MZ-N6M1T0,False,False
RAG-full-k3,95,model_number,801882-B21,801682-B21,False,False
RAG-full-k3,97,model_number,WDS250G3X0C,WDS250G3B03,False,False
RAG-full-k3,98,model_number,AGAMMIXS50-1TT-C,AGAMMIXS50-1TT-C,True,False
RAG-full-k3,99,model_number,GV-N165SOC-4GD,GV-N165SOC-4GD,True,False
RAG-full-k3,99,bus_type,PCIe 3.0,GPU,False,False
RAG-full-k3,100,model_number,CT1000P5SSD8,P5CT1T825,False,False
RAG-full-k3,102,storage_connection_type,USB,USB,True,False
RAG-full-k3,103,bus_type,PCIe x16,PCIe 3.0,False,False
RAG-full-k3,107,bus_type,PCIe 3.0,PCIe 3.0 x16,True,False
RAG-full-k3,108,model_number,GV-N105TOC-4GD,GV-N105TOC-4GL,False,False
RAG-full-k3,108,bus_type,PCIe 3.0 x16,PCIe 3.0,True,False
RAG-full-k3,109,form_factor,Low Profile,Half Height,False,False
RAG-full-k3,112,model_number,LAC301558,LAC301558,True,False
RAG-full-k3,112,form_factor,"2.5""",2.5,True,False
RAG-full-k3,114,model_number,AGAMMIXS5-1TT-C,XPG GAMMIX S5,False,False
RAG-full-k3,115,model_number,WD40PURX,WD40PURZ,False,False
RAG-full-k3,117,model_number,GP-ASM2NE6500GTTD,GP-ASM2NE6500GTTD,True,False
RAG-full-k3,119,model_number,WDS200T2B0A,WDS200T2B0A,True,False
RAG-full-k3,121,interface_type,NVMe,USB,False,False
RAG-full-k3,121,storage_connection_type,Type-C,USB,False,False
RAG-full-k3,122,model_number,GP-GSTFS31480GNTD,AASD480G2HTC,False,False
RAG-full-k3,123,model_number,GV-N208SAORUS-8GC,GV-N208SWF7GC-8HDMI,False,False
RAG-full-k3,124,bus_type,USB 3.0,USB 3.0,True,False
RAG-full-k3,124,interface_type,Lightning,USB-A,False,False
RAG-full-k3,126,model_number,XA1920ME10063,XZA1920ME10063,False,False
RAG-full-k3,127,model_number,NEAT7100HD46H,NEAT7100HD46H,True,False
RAG-full-k3,129,model_number,MTFDHBE3T8TDF-1AW1ZABYY,MTFDHBE3T8TDF-1AW1ZABYY,True,False
RAG-full-k3,130,model_number,DC450R/3840G,DC450R,True,False
RAG-full-k3,131,model_number,WDS120G2G0A,WDC120G2G0A,False,False
RAG-full-k3,132,model_number,CZ73,SDFNT00064G46,False,False
RAG-full-k3,136,form_factor,3.5”,3.5”,True,False
RAG-full-k3,136,storage_connection_type,3.5” SATA,3.5”,True,False
RAG-full-k3,139,model_number,HDWD105UZSVA,HDWD105UZSVA,True,False
RAG-full-k3,140,bus_type,USB 3.0,USB 2.0,False,False
RAG-full-k3,140,interface_type,iOS,iOS,True,False
RAG-full-k3,142,bus_type,PCIe 3.0,PCIe 3.0,True,False
RAG-full-k3,143,interface_type,SATA,SATA,True,False
RAG-full-k3,146,model_number,GV-N2070WF2-8GD,GV-N207SWF3OC-8GD,False,False
RAG-full-k3,146,bus_type,PCIe,"NVLink, HDMI",False,False
RAG-full-k3,149,bus_type,PCIe,PCIe,True,False
RAG-full-k3,150,bus_type,PCIe x16,PCIe x16,True,False
RAG-full-k3,151,model_number,MZ-V7S1T0B/AM,MZ-V7S1T0B/AM,True,False
RAG-full-k3,152,model_number,MZ-76P1T0B/EU,SCT100SSA750H,False,False
RAG-full-k3,153,model_number,ZP480NM30011,M.2,False,False
RAG-full-k3,157,model_number,MZ-V7E250BW,M.2 2280,False,False
RAG-full-k3,159,model_number,GV-RXVEGA56GAMING OC-8GD,8GB HBM2,False,False
RAG-full-k3,163,model_number,HDWE140EZSTA,HDWE140EZSTA,True,False
RAG-full-k3,164,bus_type,PCIe 3.0 x16,PCIe,True,False
RAG-full-k3,164,form_factor,ATX,NVIDIA Founders Edition,False,False
RAG-full-k3,165,model_number,AXRX5700XT-8GBD6-3DHDR/OC,AX9079D2-1241-01,False,False
RAG-full-k3,168,model_number,GV-N166TOC-6GD,GV-N166TF6GC-OC,False,False
RAG-full-k3,168,bus_type,PCIe 3.0,PCIe 3.0 x8,True,False
RAG-full-k3,169,model_number,ZA500GM1A001,ST500LT012-1E1426,False,False
RAG-full-k3,170,model_number,VPN100-512GM28H,VPN100,True,False
RAG-full-k3,174,bus_type,PCIe,PCIe,True,False
RAG-full-k3,175,model_number,CT500P2SSD8,P5,False,False
RAG-full-k3,180,model_number,DTEG2/64GB,DT-KEG2/64GB,False,False
